boxID,magnification,imageName,specimenNR,formation,colony.id,zooid.id,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,area,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side,ln.area
498_419_406_701,x30,454_CV_2_15v_x30_BSE,454CV,NKLS,454CV,498_419_406_701_454_CV_2_15v_x30_BSE.tif,838.1961182,0.087814969,485.6225654,427.4214091,268.3659864,193.5201078,414.5889773,249.9605127,495.3244561,391.1360114,1.6922163,0.00018083,152468.6886,6.731252104,5.265381423,6.027287613,6.205213015,6.185431708,-2.432523302,5.59235167,5.969055355,11.93471453
823_728_507_652,x30,454_CV_2_15v_x30_BSE,454CV,NKLS,454CV,823_728_507_652_454_CV_2_15v_x30_BSE.tif,755.3448987,0.083244294,496.7681937,451.1594612,239.4063879,188.1043362,507.535071,282.8673576,551.0661773,399.2938883,1.370697259,0.000167572,152860.1583,6.627174464,5.236996789,6.229565814,6.311854906,6.208123506,-2.485975694,5.478162476,5.989697708,11.93727878
1159_428_454_459,x30,454_CV_2_15v_x30_BSE,454CV,NKLS,454CV,1159_428_454_459_454_CV_2_15v_x30_BSE.tif,562.5707569,0.098071722,391.1761332,353.139169,264.0624087,199.6767857,459.1048528,358.4506362,440.9678147,202.8510917,1.275763759,0.00025071,91102.29004,6.332516916,5.296699988,6.129278621,6.08897189,5.969157927,-2.322056206,5.576185472,5.312472171,11.41973822
1159_380_477_614,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,1159_380_477_614_530_CC_1_15v_x30.BSE.tif,769.2052664,0.101209517,424.5672882,352.7649889,282.2952184,194.2434187,384.9555938,192.617451,443.636668,359.7759703,1.73386314,0.000238383,125318.4262,6.64535786,5.269112108,5.953127987,6.095005912,6.051070505,-2.29056249,5.642953397,5.885481533,11.73861319
291_408_446_702,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,291_408_446_702_530_CC_1_15v_x30.BSE.tif,938.8786396,0.114495458,413.5301679,331.7160058,357.6198312,159.8617321,371.2577913,175.1974844,418.0490417,412.2719676,2.245857653,0.000276873,144139.1442,6.844686227,5.074309267,5.916896677,6.03559875,6.024730469,-2.167220121,5.879470498,6.021683247,11.87853439
815_674_515_622,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,815_674_515_622_530_CC_1_15v_x30.BSE.tif,804.0385651,0.092276566,483.1180428,415.3763965,312.454166,197.4276073,465.0772809,230.1078049,529.9059891,367.7192656,1.517323038,0.000191002,156466.3517,6.689647235,5.285371972,6.142203587,6.272699612,6.180261019,-2.382965054,5.74445779,5.907319782,11.96059626
249_33_433_631,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,249_33_433_631_530_CC_1_15v_x30.BSE.tif,737.4096159,0.107405262,407.0592866,353.3087696,340.1970742,164.1229935,452.9515106,304.7984777,480.3992864,288.6920176,1.534993154,0.000263857,130093.7398,6.603143526,5.100616107,6.115785079,6.174617605,6.008958842,-2.231146102,5.82952508,5.665360437,11.77601054
513_1889_519_570,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,513_1889_519_570_530_CC_1_15v_x30.BSE.tif,732.816342,0.104155929,432.283396,375.9806024,363.1108796,142.4982226,531.1301625,358.3632634,509.3239068,277.761273,1.438802169,0.000240944,137067.4887,6.596895114,4.959329527,6.275007118,6.233084173,6.069081382,-2.261866184,5.894708241,5.626762015,11.8282287
730_217_484_571,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,730_217_484_571_530_CC_1_15v_x30.BSE.tif,752.8171448,0.103947274,429.9305365,363.8230299,337.6125669,155.7287226,539.5862978,327.7229385,515.7181501,313.7394837,1.459745298,0.000241777,142576.2428,6.623822363,5.048115536,6.290802731,6.245560396,6.063623653,-2.263871491,5.821898986,5.748562972,11.86763217
681_1437_519_585,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,681_1437_519_585_530_CC_1_15v_x30.BSE.tif,747.5101813,0.100624868,483.8586612,382.9129607,339.6266648,177.3370854,527.2503184,341.5522697,522.1331769,287.4805746,1.431646588,0.000207963,143332.1615,6.616747926,5.178052359,6.267675423,6.257922683,6.181792842,-2.296355856,5.82784697,5.661155291,11.87292002
159_1752_418_666,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,159_1752_418_666_530_CC_1_15v_x30.BSE.tif,886.5118966,0.107348744,431.0501409,351.1169611,318.4948075,143.7160156,370.7880768,189.0213426,422.2133507,422.2196538,2.099677557,0.00024904,137455.3912,6.787294545,4.967839239,5.915630678,6.045510757,6.06622442,-2.231672451,5.763606172,6.045525685,11.83105472
1203_1467_419_567,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,1203_1467_419_567_530_CC_1_15v_x30.BSE.tif,757.5317915,0.108295314,408.7382466,334.4465612,282.7559994,147.899348,342.6149527,163.3329966,403.8827337,337.196229,1.875623116,0.00026495,112357.3271,6.630065505,4.996531961,5.83660723,6.001124573,6.013074967,-2.222893394,5.644584333,5.820665043,11.62943949
286_747_415_618,x30,530_CC_1_15v_x30.BSE,530CC,NKLS,530CC,286_747_415_618_530_CC_1_15v_x30.BSE.tif,798.5042629,0.11072117,414.3524597,337.4173883,336.5794627,148.3313865,340.9298432,178.0726092,399.026143,331.621293,2.0011327,0.000267215,117010.2312,6.682740306,4.999448869,5.831676718,5.989026936,6.026716964,-2.200740223,5.818834266,5.803993634,11.67001666
