"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.b","cw.d","zh.zw","oh.ow"
"282_262_426_572","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",817.164981838994,0.106510584031615,444.642161578616,351.237148908368,183.309492765661,373.914430053295,184.530952671854,466.515396473325,1.75163561163564,0.000239542250454769
"608_53_374_580","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",744.094520067305,0.114039121054145,402.386572678096,313.986988711217,160.202044875805,322.677944195018,168.906299711772,373.914430053295,1.99001284855802,0.000283406874874462
"512_1016_381_668","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",740.1463793429,0.102344976954803,435.974721619085,353.897884268981,184.420245161036,392.368158130569,215.28804385027,432.975754778677,1.70944070464462,0.000234749795985243
"592_1668_549_618","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",794.173523866218,0.0916989505859109,514.727178866914,419.19388467075,191.205639440145,516.026943674922,276.741086324231,535.330419335373,1.48352026184539,0.000178150589964515
"114_1970_507_629","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",745.723063554075,0.0882297543275848,496.455648751783,426.487055985141,190.763643783742,459.682781425219,241.922295777332,523.882563504016,1.42345463564633,0.00017771930795715
"427_635_423_647","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",825.50814104014,0.104606257278041,445.458982125868,359.724619071722,182.21438632692,454.368075468664,254.173627075072,462.390842708018,1.78530382696488,0.000234828034623587
"84_1555_446_661","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",901.958219703514,0.0908077741745534,505.513717685596,415.491103809866,217.984237848563,454.993916797434,269.022450535355,502.95665374807,1.79331203391397,0.000179634638977357
"33_1202_387_644","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",748.96770952856,0.108682069404441,407.724353782481,335.86027123841,162.555912290756,427.835315023112,263.763276476262,433.016632250688,1.72965113519002,0.000266557708403218
"1143_93_408_564","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",785.897910627602,0.121254558907467,393.085794379782,307.134677948881,162.898954718958,348.544384437266,213.783956972959,378.319899368236,2.07733696255468,0.000308468432696186
"1072_1495_392_640","x30","035_CC_1_15v_x30_BSE","035CC","NKBS",1032.65264665037,0.119646469600498,435.896641161981,363.373680618105,165.486130409817,405.63526578488,272.642019855453,447.304311099876,2.30861322152514,0.000274483577761815
"791_626_550_665","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",820.450695433512,0.0859508591860908,559.950862449753,485.162546664012,216.574335782289,564.62175069359,275.043453882865,631.756792078804,1.29868124208655,0.000153497145821083
"1157_1075_481_685","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",790.918084587646,0.0896650670949661,551.150174875585,465.39334549099,190.627988350605,501.096185344111,365.014860433529,554.762310964544,1.42568820728378,0.000162687178889505
"1019_191_532_696","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",834.959039023953,0.0845021711454862,565.323029187353,500.66126256517,259.5851714147,567.795861383402,339.649501255519,616.552531098,1.35423827964342,0.000149475904540732
"610_1156_604_748","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",775.02613639526,0.0851769133000746,569.500612770768,495.074256806962,196.619083321519,672.176444258672,469.308787415153,665.116814290187,1.16524814851113,0.000149564217122905
"286_672_574_681","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",748.913171588674,0.0804147286656471,582.760629327445,519.741732586872,237.377255710875,600.737129209467,387.54644489076,642.499330310807,1.1656248283191,0.000137989295465022
"1064_1530_572_668","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",941.169993323872,0.0843253041782093,574.034515364546,508.949521890797,236.45776450723,541.739398493741,266.694440275075,627.941454795768,1.49881806040338,0.000146899362183226
"113_1189_525_609","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",727.24365509638,0.0836988942854569,552.576180298791,496.579045252344,201.360705752892,556.585273642319,384.775173193726,616.128394933772,1.18034432607923,0.000151470326209499
"491_263_478_650","x30","035_CC_2_15v_x30_BSE","035CC","NKBS",775.54595820747,0.0950262014671193,521.096925423397,421.387012290549,185.267312152335,435.046220130779,247.574252476237,504.759018032804,1.53646776085349,0.000182358016006158
