"boxID","image","colony.id","zooid.id","formation","zh","oh","ow.m","ow.b","mpw.b","cw.m","cw.d","o.side","c.side","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side"
"218_1443_399_627","428_CC_1_10v_x30_BSE","428CC","218_1443_399_627_428_CC_1_10v_x30_BSE","NKLS",758.218054503247,0.047742832403673,429.223749649437,359.603481823635,192.129103337662,400.7591452137,432.714676808963,303.100265367703,348.527038917213,6.63097101512166,5.25816755927629,5.99336061147557,6.07007856578886,6.06197834391677,-3.0419263300519,5.71406365957542,5.85371581375392
"457_1114_383_622","428_CC_1_10v_x30_BSE","428CC","457_1114_383_622_428_CC_1_10v_x30_BSE","NKLS",768.26480152272,0.0483830518197609,435.756061082483,353.135313531353,175.041988200345,356.168155345785,422.703224871166,303.100265367703,348.527038917213,6.64413446736938,5.1650258777177,5.87540296580847,6.04667033676334,6.07708259384438,-3.02860569559624,5.71406365957542,5.85371581375392
"335_437_418_559","428_CC_1_10v_x30_BSE","428CC","335_437_418_559_428_CC_1_10v_x30_BSE","NKLS",602.373521698448,0.0466668389283203,437.741846490205,366.429536580158,208.241410299075,474.243760296079,468.048006722206,303.100265367703,348.527038917213,6.4008777208358,5.338698033133,6.16172145173559,6.14857086912309,6.08162934504208,-3.06472145372661,5.71406365957542,5.85371581375392
"196_1217_457_672","407_CC_2_10v_x30_BSE","407CC","196_1217_457_672_407_CC_2_10v_x30_BSE","NKLS",815.882703739089,0.0458398928594426,470.239125611431,399.343343410697,221.054371181285,482.762819257378,539.230399251564,303.100265367703,348.527038917213,6.70427059921396,5.39840869470368,6.17952547560624,6.2901429364428,6.15324134321717,-3.08260054385058,5.71406365957542,5.85371581375392
"27_567_403_675","407_CC_2_10v_x30_BSE","407CC","27_567_403_675_407_CC_2_10v_x30_BSE","NKLS",948.242024008423,0.0507496317204137,457.095709570957,359.603481823635,178.591772445672,377.920214211181,435.693566487373,303.100265367703,348.527038917213,6.85460976925857,5.18510260044776,5.93468309982504,6.07693916709143,6.12489279910016,-2.98085091782719,5.71406365957542,5.85371581375392
"619_837_456_589","032_CC_1_15v_x30_BSE","032CC","619_837_456_589_032_CC_1_15v_x30_BSE","NKBS",693.995923080206,0.0470104167595204,438.537368512156,367.346154587231,211.227567970952,438.086957255317,461.066854591668,303.100265367703,348.527038917213,6.54246608596535,5.35293607347928,6.08241742321785,6.13354305328837,6.08344502713719,-3.0573860686478,5.71406365957542,5.85371581375392
"320_1128_441_529","032_CC_1_15v_x30_BSE","032CC","320_1128_441_529_032_CC_1_15v_x30_BSE","NKBS",698.333769865189,0.046010912747551,457.679150110847,389.976973534537,222.503198942467,407.149585532507,477.753409073649,303.100265367703,348.527038917213,6.54869716879322,5.40494147877246,6.00918064994015,6.16909471878022,6.12616839300794,-3.07887667698608,5.71406365957542,5.85371581375392
"158_728_461_530","032_CC_1_15v_x30_BSE","032CC","158_728_461_530_032_CC_1_15v_x30_BSE","NKBS",723.98815703623,0.0462542712256825,453.843381799606,391.677016996172,204.726896624037,527.149598843673,529.705540641286,303.100265367703,348.527038917213,6.58477503456716,5.32167687936557,6.26748437703182,6.27232126845667,6.11775216451445,-3.07360146846221,5.71406365957542,5.85371581375392
"780_1247_383_525","032_CC_1_15v_x30_BSE","032CC","780_1247_383_525_032_CC_1_15v_x30_BSE","NKBS",672.913337989347,0.0491832513982047,430.579249783456,348.388097011774,184.9657593294,415.481272997226,438.335517251062,303.100265367703,348.527038917213,6.5116165516494,5.22017072324209,6.0294375422743,6.08298463825316,6.06513139469216,-3.01220213217516,5.71406365957542,5.85371581375392
"457_87_391_746","032_CC_1_15v_x30_BSE","032CC","457_87_391_746_032_CC_1_15v_x30_BSE","NKBS",990.452357190599,0.0502560623244133,435.309027467774,372.224705468028,200.160323067147,377.585017133,445.449812686984,303.100265367703,348.527038917213,6.89816176522468,5.2991186607618,5.93379575428125,6.09908458666367,6.07605618684028,-2.99062409604786,5.71406365957542,5.85371581375392
