"boxID","magnification","imageName","specimenNR","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow"
"443_585_205_312","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",423.912586601527,0.169268782273098,200.920720493167,145.252020360828,143.255204410534,92.9088334010511,155.518751199121,76.7104904235608,183.710137296272,193.04619388142,2.30750786451092,0.000842465534951408
"160_573_214_302","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",397.854066824532,0.18185720980975,158.424435960488,122.512945170103,119.01218086976,67.9779865480065,144.923575923806,79.653586707242,148.514851485149,201.74820352019,2.67888404995185,0.00114791136043625
"289_410_190_289","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",384.215685341392,0.155351123399682,180.049564689756,156.008244881828,130.820349813163,91.3571652519235,161.083493315997,90.0361245260973,182.937743259612,173.996591021444,2.10025377210509,0.000862824209918909
"421_277_192_305","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",339.549271223751,0.17521559495402,179.261398824385,130.873795768306,121.365504162028,80.9254114537243,168.615860693419,96.8549873982125,166.50320383147,150.037938123651,2.03929572170535,0.000977430702332474
"56_749_231_302","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",376.892054312166,0.153493297828487,208.162937211137,165.387372018044,148.091433653877,109.384907057271,206.191403928151,121.374096029263,219.726148724477,159.283761188878,1.71528084618079,0.000737370926279738
"171_222_206_291","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",336.297800485165,0.164237667835848,184.538330811145,151.420062666065,143.57385991536,92.9381375599256,199.697240588822,113.945059416713,190.713676692518,136.577427495841,1.76336488456131,0.000889992161053668
"333_744_192_312","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",382.343626032666,0.173916466821303,175.856809120963,136.754781221787,131.175483239311,86.8181283034053,148.221198500895,82.8704919438265,164.768790975137,175.034203544067,2.32048571680277,0.000988966351036629
"17_369_254_292","x30","280_CV_1_10kv_x30_BSE","280CV","NKBS",384.715014196708,0.147672926251763,214.62297673781,176.637042595705,158.10040261856,84.3038929006258,216.177915409723,130.373479967681,226.168946734448,169.830008746827,1.70100723265256,0.000688057394862084
"354_501_217_299","x30","280_CV_2_15kv_x30_BSE","280CV","NKBS",381.316681418846,0.165630759701163,200.493351797128,146.558437697522,140.069559031242,94.7660331046946,170.933520298067,92.6446788621663,184.833214877173,169.361287692838,2.06303115850818,0.00082611596951483
"212_353_214_275","x30","280_CV_2_15kv_x30_BSE","280CV","NKBS",356.007565944866,0.161819664836933,195.1455315268,150.527253227475,138.340335590214,94.5070697245964,172.834600300675,91.71414674317,191.283951350115,146.929217089025,1.86114707183798,0.000829225571146168
"242_176_245_278","x30","280_CV_2_15kv_x30_BSE","280CV","NKBS",399.462654683505,0.170668818141211,188.473118953586,142.354830535906,143.580678485894,78.1871798051626,157.873452664376,69.6205383159373,176.382494442508,189.333889237775,2.26475227003727,0.000905534004471168
