Expedition,SAMPLE_ID,Formation_name,GPS number,GPS lat,GPS long,Date ,Time,Collectors,Code,Total,Encrusted,Rate,Physical Description,Photo ID,Unpacked,Unpacked by,unpacking notes,Small,Large,Too large,NOTE,,,,
WABO I,91,Nukumaru Limestone,62,39S 51.854,174E 46.249,17/01/2014,,"SR, LLH, KV",,30,3,0.100,"very cemented. ""Hell II""",,,,,,,,,,,,
WABO I,92,Nukumaru Limestone,63,39S 51.953,174E 45.766,17/01/2014,,"SR, LLH, KV",,30,21,0.700,,,,,,,,,,,,,
WABO I,93,Nukumaru Limestone,64,39S 51.962,174E 45.686,17/01/2014,,"SR, LLH, KV",,30,22,0.733,,,,,,,,,,,,,
WABO I,94,Nukumaru Limestone,65,39S 51.963,174E 45.667,17/01/2014,,"SR, LLH, KV",,30,20,0.667,,,,,,,,,,,,,
WABO I,95,Nukumaru Limestone,66,39S 51.957,174E 45.655,17/01/2014,,"SR, LLH, KV",,30,?,#VALUE!,,,,,,,,,,,,,
WABO I,96,Nukumaru Limestone,67,39S 51.957,174E 45.645,17/01/2014,,"SR, LLH, KV",,30,14,0.467,,,,,,,,,,,,,
WABO I,97,Landguard Formation,68,39S 57.409,175E 01.617,18/01/2014,,"SR, LLH, KV",,?,?,,"Close to old airport by Wanganui River, ""exposure by Agave"". Sandy, huge Pectens and other shells. Topmost Castleclffian. 2 bags 97A and B, not yet counted. ",,,,,,,,,,,,
WABO I,98,Landguard Formation,68,39S 57.409,175E 01.617,18/01/2014,,"SR, LLH, KV",,30,18,0.600,"2 m from Sample 97, 3 by 8 m exposure.",,,,,,,,,,,,
WABO I,99,Lower Castlecliff Shellbed,69,39S 54.359,174E 56.396,18/01/2014,,"SR, LLH, KV",,50,19,0.380,"Slity, some large Pectens. ""0 m from beach level exposure 1 by 3 m.",,,,,,,,,,,,
WABO I,100,Lower Castlecliff Shellbed,70,39S 54.383,174E 56.441,18/01/2014,,"SR, LLH, KV",,50,24,0.480,20 S of GPS # 69,,,,,,,,,,,,
WABO I,101,Lower Castlecliff Shellbed,55,39S 54.295,174E 56.282,18/01/2014,,"SR, LLH, KV",,50,19,0.380,Shell rich and many gastropods,,,,,,,,,,,,
WABO I,102,Upper Kai-iwi Shellbed,71,39S 53.816,174E 55.427,18/01/2014,,"SR, LLH, KV",,30,15,0.500,"Thought to be Kupe Formation at first by revised. <About 20 m from beach level with 2-3 m by 20-30 shell bed, but hard to reach. This is a fallen block.",,,LH,,,,,,,,,
WABO I,103,Upper Kai-iwi Shellbed,71,39S 53.816,174E 55.427,18/01/2014,,"SR, LLH, KV",,30,21,0.700,fallen block,,,LHL,,,,,,,,,
WABO I,104,Upper Kai-iwi Shellbed,71,39S 53.816,174E 55.427,18/01/2014,,"SR, LLH, KV",,30,13,0.433,fallen block,,,KLV,,,,,,,,,
WABO I,105,Upper Kai-iwi Shellbed,72,39S 53.804,174E 55.420,18/01/2014,,"SR, LLH, KV",,30,17,0.567,"12 m from beach level, in place. ",,,KLV,,,,,,,,,
WABO I,106,Upper Kai-iwi Shellbed,73,39S 53.770,174E 55.370,18/01/2014,,"SR, LLH, KV",,30,19,0.633,,,,LHL,,,,,,,,,
WABO I,107,Upper Kai-iwi Shellbed,73,39S 53.770,174E 55.370,18/01/2014,,"SR, LLH, KV",,30,19,0.633,about 4 m from Sample 106,,,LHL,,,,,,,,,
WABO I,108,Upper Kai-iwi Shellbed,74,39S 53.972,174E 55.705,19/01/2014,,"SR, LLH, KV",,30,10,0.333,"Beach level, Tore films",,,LHL,,,,,,,,,
WABO I,109,Upper Kai-iwi Shellbed,75,39S 53.879,174E 55.542,19/01/2014,,"SR, LLH, KV",,30,19,0.633,Fallen block with fragile shells,,,LHL,,,,,,,,,
WABO I,110,Upper Kai-iwi Shellbed,76,39S 53.879,174E 55.557,19/01/2014,,"SR, LLH, KV",,30,19,0.633,"in place, 12-15 from beach level",,,KLV,,,,,,,,,
WABO I,111,Upper Kai-iwi Shellbed,76,39S 53.879,174E 55.557,19/01/2014,,"SR, LLH, KV",,30,10,0.333,"In place, 2-3 south of Sample 110",,,LHL,,,,,,,,,
WABO I,112,Upper Kai-iwi Shellbed,77,39S 53.873,174E 55.529,19/01/2014,,"SR, LLH, KV",,30,20,0.667,Fallen block,,,KLV,,,,,,,,,
WABO I,113,Upper Kai-iwi Shellbed,78,39S 53.862,174E 55.525,19/01/2014,,"SR, LLH, KV",,30,17,0.567,Wet,,,LHL,Changed from 16 to 17 shells,,,,,,,,
WABO I,114,Nukumaru Brown Sand,79,39S 51.456,174E 47.214,19/01/2014,,"SR, LLH, KV",,30,15,0.500,Very sandy,,24/2/2014,KLV,,9,6,0,,,,,
WABO I,116,Nukumaru Brown Sand,82,39S 51.471,174E 47.116,19/01/2014,,"SR, LLH, KV",,30,12,0.400,,,20/2/2014,LHL,,5,5,2,,,,,
WABO I,117,Nukumaru Brown Sand,83,39S 51.458,174E 47.221,19/01/2014,,"SR, LLH, KV",,30,6,0.200,,,14/2/2014,LHL,,,,,,,,,
WABO I,118,Nukumaru Brown Sand,84,39S 51.455,174E 47.269,19/01/2014,,"SR, LLH, KV",,30,19,0.633,,,14/2/2014,KLV,,11,7,1,,,,,
WABO I,119,Nukumaru Brown Sand,85,39S 51.459,174E 47.295,19/01/2014,,"SR, LLH, KV",,30,10,0.333,,,20/2/2014,LHL,,6,3,1,,,,,
WABO I,115A,Nukumaru Brown Sand,80,39S 51.483,174E 47.052,19/01/2014,,"SR, LLH, KV",,30,12,0.400,10 m from beach level,,17/2/2014,LHL,,7,4,1,,,,,
WABO I,115B,Nukumaru Brown Sand,81,39S 51.483,174E 47.052,19/01/2014,,"SR, LLH, KV",,30,14,0.467,Close to top of Brown Sand. Treacherous,,20/2/2014,LHL,,7,5,2,,,,,
WABO I,,,,,,,,,,,,,,,,,,,,,,,,,
WABO I,9.1,Nukumaru Brown Sand,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Nukumaru beach (close to WABO 33-52),,,London 31 Mar,,,,,,,,,
WABO I,9.2,Lower Castlecliff Shellbed,55,39S 54.295,174E 56.282,,,,,,,,Lwr Castelcliff SB GPS 55,,,30,,,,,,,,,
WABO I,9.3,Upper Kai-iwi Shellbed,71,39S 53.816,174E 55.427,,,,,,,,Upper Kai-iwi Shellbed GPS 71,,,,,,,,,,,,
WABO I,9.4,Lower Castlecliff Shellbed,69,39S 54.359,174E 56.396,,,,,,,,GPS 69,,,,,,,,,,,,
WABO I,9.5,Upper Castlecliff Shellbed,8,39S 55.066,174E 57.383,,,,,,,,"Upper castlecliff shellbed sandy base, GPS # 8, Seabourne site14",,,,,,,,,,,,
WABO I,9.6,Nukumaru Brown Sand,58,39S 49.704,175E 08.773,,,,,,,,GPS 58 ,,,,,,,,,,,,
WABO I,9.7,Nukumaru Brown Sand,,,,,,,,,,,mid upper Nukumaru brown sand,,,,,,,,,,,,
WABO I,9.8,Nukumaru Limestone,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Waimu Beach (with samples 33-52),,,,,,,,,,,,
WABO I,9.9,Nukumaru Limestone,,,,?,,PDT,,,,,Nukumaru Beach (or top most NKLS),,,,,,,,,,,,
WABO I,9.10,Nukumaru Limestone,,,,?,,PDT,,,,,Nukumaru Beach ,,,,,,,,,,,,
WABO I,9.11,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.12,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.13,Nukumaru Limestone,,,,17/01/2014,,PDT,,,,,Waimu Beach ,,,,,,,,,,,,
WABO I,9.14,Nukumaru Limestone,52,39S 51.946,174E 45.603,13/01/2014,,PDT,,,,,Waimu Beach (with samples 33-52),,,,,,,,,,,,
