"fileName","dateImaged","Enterer","collectionType","boxNumber","possibleSpeicesID","surface","formation","specimenNR","pictureNumber","SignalName","Magnification","Comment","Vacc","Mag","fileName.tif","path.tif"
"0000030_CC_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000030_CC",2,"BSE",30,NA,"15.0kV","x30","0000030_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/030_CC_2_15v_x30_BSE.tif"
"0000031_CV_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000031_CV",2,"BSE",30,NA,"15.0kV","x30","0000031_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/031_CV_2_15v_x35_BSE.tif"
"0000032_CC_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000032_CC",1,"BSE",30,NA,"15.0kV","x30","0000032_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/032_CC_1_15v_x30_BSE.tif"
"0000033_CC_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000033_CC",1,"BSE",30,NA,"15.0kV","x30","0000033_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/033_CC_1_15v_x30_BSE.tif"
"0000033_CC_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000033_CC",2,"BSE",30,NA,"15.0kV","x30","0000033_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/033_CC_2_15v_x30_BSE.tif"
"0000034_CV_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000034_CV",1,"BSE",30,NA,"15.0kV","x30","0000034_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/034_CV_1_15v_x30_BSE.tif"
"0000034_CV_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000034_CV",2,"BSE",30,NA,"15.0kV","x30","0000034_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/034_CV_2_15v_x30_BSE.tif"
"0000035_CC_1_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000035_CC",1,"BSE",30,NA,"15.0kV","x30","0000035_CC_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/035_CC_1_15v_x30_BSE.tif"
"0000035_CC_2_15v_x30_BSE","01/29/2018","Mali",NA,NA,NA,NA,"NKBS","0000035_CC",2,"BSE",30,NA,"15.0kV","x30","0000035_CC_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/035_CC_2_15v_x30_BSE.tif"
"0000036_CV_1_15v_x30_BSE","01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000036_CV",1,"BSE",30,NA,"15.0kV","x30","0000036_CV_1_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/036_CV_1_15v_x30_BSE.tif"
"0000036_CV_2_15v_x30_BSE","01/30/2018","Mali",NA,NA,NA,NA,"NKBS","0000036_CV",2,"BSE",30,NA,"15.0kV","x30","0000036_CV_2_15v_x30_BSE.tif","/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Stegs/036_CV_2_15v_x30_BSE.tif"
