path;folder;subfolder;image;ext;fileName;specimenNR;formation
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/053i_CC_1_15v_x30.tif;Sara;NKBS;053i_CC_1_15v_x30;tif;053i_CC_1_15v_x30.tif;053iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/053i_CC_1_15v_x30.txt;Sara;NKBS;053i_CC_1_15v_x30;txt;053i_CC_1_15v_x30.txt;053iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/053i_CV_1_15v_x30.tif;Sara;NKBS;053i_CV_1_15v_x30;tif;053i_CV_1_15v_x30.tif;053iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/053i_CV_1_15v_x30.txt;Sara;NKBS;053i_CV_1_15v_x30;txt;053i_CV_1_15v_x30.txt;053iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/053i_CV_2_15v_x30.tif;Sara;NKBS;053i_CV_2_15v_x30;tif;053i_CV_2_15v_x30.tif;053iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/053i_CV_2_15v_x30.txt;Sara;NKBS;053i_CV_2_15v_x30;txt;053i_CV_2_15v_x30.txt;053iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/054i_CV_1_15v_x30.tif;Sara;NKBS;054i_CV_1_15v_x30;tif;054i_CV_1_15v_x30.tif;054iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/054i_CV_1_15v_x30.txt;Sara;NKBS;054i_CV_1_15v_x30;txt;054i_CV_1_15v_x30.txt;054iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CC_1_15v_x30.tif;Sara;NKBS;055i_CC_1_15v_x30;tif;055i_CC_1_15v_x30.tif;055iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CC_1_15v_x30.txt;Sara;NKBS;055i_CC_1_15v_x30;txt;055i_CC_1_15v_x30.txt;055iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CC_2_15v_x30.tif;Sara;NKBS;055i_CC_2_15v_x30;tif;055i_CC_2_15v_x30.tif;055iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CC_2_15v_x30.txt;Sara;NKBS;055i_CC_2_15v_x30;txt;055i_CC_2_15v_x30.txt;055iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CV_1_15v_x30.tif;Sara;NKBS;055i_CV_1_15v_x30;tif;055i_CV_1_15v_x30.tif;055iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CV_1_15v_x30.txt;Sara;NKBS;055i_CV_1_15v_x30;txt;055i_CV_1_15v_x30.txt;055iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CV_2_15v_x30.tif;Sara;NKBS;055i_CV_2_15v_x30;tif;055i_CV_2_15v_x30.tif;055iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/055i_CV_2_15v_x30.txt;Sara;NKBS;055i_CV_2_15v_x30;txt;055i_CV_2_15v_x30.txt;055iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/056i_CV_1_15v_x30.tif;Sara;NKBS;056i_CV_1_15v_x30;tif;056i_CV_1_15v_x30.tif;056iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/056i_CV_1_15v_x30.txt;Sara;NKBS;056i_CV_1_15v_x30;txt;056i_CV_1_15v_x30.txt;056iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/057i_CV_1_15v_x30.tif;Sara;NKBS;057i_CV_1_15v_x30;tif;057i_CV_1_15v_x30.tif;057iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/057i_CV_1_15v_x30.txt;Sara;NKBS;057i_CV_1_15v_x30;txt;057i_CV_1_15v_x30.txt;057iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/057i_CV_2_15v_x30.tif;Sara;NKBS;057i_CV_2_15v_x30;tif;057i_CV_2_15v_x30.tif;057iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/057i_CV_2_15v_x30.txt;Sara;NKBS;057i_CV_2_15v_x30;txt;057i_CV_2_15v_x30.txt;057iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/058i_CV_1_15v_x30.tif;Sara;NKBS;058i_CV_1_15v_x30;tif;058i_CV_1_15v_x30.tif;058iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/058i_CV_1_15v_x30.txt;Sara;NKBS;058i_CV_1_15v_x30;txt;058i_CV_1_15v_x30.txt;058iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/058i_CV_2_15v_x30.tif;Sara;NKBS;058i_CV_2_15v_x30;tif;058i_CV_2_15v_x30.tif;058iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/058i_CV_2_15v_x30.txt;Sara;NKBS;058i_CV_2_15v_x30;txt;058i_CV_2_15v_x30.txt;058iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/059i_CC_1_15v_x30.tif;Sara;NKBS;059i_CC_1_15v_x30;tif;059i_CC_1_15v_x30.tif;059iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/059i_CC_1_15v_x30.txt;Sara;NKBS;059i_CC_1_15v_x30;txt;059i_CC_1_15v_x30.txt;059iCC;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/059i_CV_1_15v_x30.tif;Sara;NKBS;059i_CV_1_15v_x30;tif;059i_CV_1_15v_x30.tif;059iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKBS/059i_CV_1_15v_x30.txt;Sara;NKBS;059i_CV_1_15v_x30;txt;059i_CV_1_15v_x30.txt;059iCV;NKBS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/530_CV_1_15V_x30_BSE.tif;Sara;NKLS;530_CV_1_15V_x30_BSE;tif;530_CV_1_15V_x30_BSE.tif;530CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/530_CV_1_15V_x30_BSE.txt;Sara;NKLS;530_CV_1_15V_x30_BSE;txt;530_CV_1_15V_x30_BSE.txt;530CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/530_CV_2_15V_x30_BSE.tif;Sara;NKLS;530_CV_2_15V_x30_BSE;tif;530_CV_2_15V_x30_BSE.tif;530CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/530_CV_2_15V_x30_BSE.txt;Sara;NKLS;530_CV_2_15V_x30_BSE;txt;530_CV_2_15V_x30_BSE.txt;530CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/531_CV_1_15V_x30_BSE.tif;Sara;NKLS;531_CV_1_15V_x30_BSE;tif;531_CV_1_15V_x30_BSE.tif;531CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/531_CV_1_15V_x30_BSE.txt;Sara;NKLS;531_CV_1_15V_x30_BSE;txt;531_CV_1_15V_x30_BSE.txt;531CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/531_CV_2_15V_x30_BSE.tif;Sara;NKLS;531_CV_2_15V_x30_BSE;tif;531_CV_2_15V_x30_BSE.tif;531CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/531_CV_2_15V_x30_BSE.txt;Sara;NKLS;531_CV_2_15V_x30_BSE;txt;531_CV_2_15V_x30_BSE.txt;531CV;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/532_CC_1_15V_x30_BSE.tif;Sara;NKLS;532_CC_1_15V_x30_BSE;tif;532_CC_1_15V_x30_BSE.tif;532CC;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/532_CC_1_15V_x30_BSE.txt;Sara;NKLS;532_CC_1_15V_x30_BSE;txt;532_CC_1_15V_x30_BSE.txt;532CC;NKLS
/Users/mab/Library/CloudStorage/Dropbox/Rocks-Paradox/Bryozoans/Stegino images/Sara/NKLS/532_CC_2_15V_x30_BSE.tif;Sara;NKLS;532_CC_2_15V_x30_BSE;tif;532_CC_2_15V_x30_BSE.tif;532CC;NKLS
