DATE;SPECIMEN NR;NR OF PICS;AV;MAGNIFICATION;FORMATION;COMMENTS 
04/10/2018;755CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;756CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;757CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;758CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/10/2018;759CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
04/11/2018;637CC;2;15v;x30;TEWKESBURY;
04/11/2018;638CV;2;15v;x30;TEWKESBURY;
04/11/2018;639CV;2;15v;x30;TEWKESBURY;
04/11/2018;641CV;2;15v;x30;TEWKESBURY;
04/11/2018;642CV;2;15v;x30;TEWKESBURY;
04/11/2018;643CV;2;15v;x30;TEWKESBURY;
04/11/2018;644CV;2;15v;x30;TEWKESBURY;
04/11/2018;646CC;2;15v;x30;TEWKESBURY;
04/11/2018;647CV;2;15v;x30;TEWKESBURY;
04/11/2018;648CC;2;15v;x30;TEWKESBURY;
4/13/18;649CV;2;15v;x30;TEWKESBURY;
4/13/18;650CV;2;15v;x30;TEWKESBURY;
4/13/18;651CC;2;15v;x30;TEWKESBURY;
4/13/18;652CC;2;15v;x30;TEWKESBURY;
4/13/18;653CC;2;15v;x30;TEWKESBURY;
4/13/18;654CV;2;15v;x30;TEWKESBURY;
4/13/18;655CV;3;15v;x30;TEWKESBURY;
4/13/18;656CV;2;15v;x30;TEWKESBURY;
4/13/18;657CV;2;15v;x30;TEWKESBURY;
4/13/18;658CV;2;15v;x30;TEWKESBURY;
4/13/18;659CV;2;15v;x30;TEWKESBURY;
5/24/18;660CV;2;10v;X30;TEWKESBURY;
06/01/2018;661CC;2;10v;X30;TEWKESBURY;
06/01/2018;662CV;2;10v;X30;TEWKESBURY;
06/01/2018;663CC;2;10v;X30;TEWKESBURY;
06/01/2018;664CV;2;10v;X30;TEWKESBURY;
06/01/2018;665CV;3;10v;X30;TEWKESBURY;
06/01/2018;666CV;2;10v;X30;TEWKESBURY;
