date;specimen nr.;nr of pics;AV;magnification;formation;Comments
06/03/2018;624CV;2;10v;x30;TEWKESBURY;
06/03/2018;625CC;3;10v;x30;TEWKESBURY;
06/03/2018;626CC;2;10v;x30;TEWKESBURY;
06/03/2018;627CV;3;10v;x30;TEWKESBURY;
06/03/2018;628CV;2;10v;x30;TEWKESBURY;
06/03/2018;630CV;2;10v;x30;TEWKESBURY;
06/03/2018;631CV;2;10v;x30;TEWKESBURY;
06/03/2018;633CC;2;10v;x30;TEWKESBURY;
06/03/2018;634CV;2;10v;x30;TEWKESBURY;
06/03/2018;636CV;2;10v;x30;TEWKESBURY;
07/03/2018;813CC;2;10v;x30;TAINUI SB;
07/03/2018;814F;2;10v;x30;TAINUI SB;
07/03/2018;816CC;2;10v;x30;TAINUI SB;
07/03/2018;817F;2;10v;x30;TAINUI SB;
07/03/2018;818CC;2;10v;x30;TAINUI SB;BIG ZOOIDS
07/03/2018;819F;2;10v;x30;TAINUI SB;
07/03/2018;820F;2;10v;x30;TAINUI SB;
07/03/2018;821F;2;10v;x30;TAINUI SB;
07/03/2018;822CV;3;10v;x30;TAINUI SB;
07/03/2018;810CV;2;10v;x30;TAINUI SB;
07/03/2018;823F;2;10v;x30;TAINUI SB;
07/03/2018;824CV;3;10v;x30;TAINUI SB;
07/03/2018;825CV;2;10v;x30;TAINUI SB;
07/03/2018;826CV;2;10v;x30;TAINUI SB;
07/03/2018;827CC;2;10v;x30;TAINUI SB;
07/03/2018;828F;3;10v;x30;TAINUI SB;
08/03/2018;716CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;717CV;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;718CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;719F;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;720CV;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;721CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;723CC;3;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;724CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;725CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;726CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;727CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;728CC;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
08/03/2018;731CC;2;10v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
09/03/2018;733CV;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
09/03/2018;734CV;2;5v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
09/03/2018;1012CV;2;5v;x30;UPPER KAI-IWI SB;
09/03/2018;001iCC;2;5v;x30;NKBS;
12/03/2018;735CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
12/03/2018;736CV;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
12/03/2018;737CC;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
12/03/2018;738CV;3;15v;1 & 2 (x30), 3 (x35);SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
12/03/2018;739CV;3;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
12/03/2018;740CV;2;15v;x30;SHCSBSB (SHAKESPEARE BASAL CLIFF SAND;
12/03/2018;454CV;2;15v;x30;NKLS;
12/03/2018;456CV;2;15v;x30;NKLS;
12/03/2018;457CC;2;15v;x30;NKLS;
12/03/2018;458CV;2;15v;x30;NKLS;
12/03/2018;459CC;2;15v;x30;NKLS;
12/03/2018;461CC;2;15v;x30;NKLS;
13/03/2018;462CV;2;15v;x30;NKLS;
13/03/2018;463CC;2;15v;x30;NKLS;
13/03/2018;415CC;2;15v;x30;NKLS;
13/03/2018;464CC;3;15v;x30;NKLS;
13/03/2018;465CV;2;15v;x30;NKLS;
13/03/2018;1110CV;3;15v;x30;WAIPURU SB;
13/03/2018;1111CV;2;15v;x30;WAIPURU SB;
13/03/2018;1112CV;2;15v;x30;WAIPURU SB;
