"folder","formation","image","ext","imageName","specimenNR","number","colonyCurve","pictureNumber","AV","magnification","backscatter"
"Sara","NKLS","534_CV_1_15V_x30_BSE.tif","tif","534_CV_1_15V_x30_BSE_NKLS","534CV","534","CV","1","15V","x30","BSE"
"Sara","NKLS","534_CV_1_15V_x30_BSE.txt","txt","534_CV_1_15V_x30_BSE_NKLS","534CV","534","CV","1","15V","x30","BSE"
"Sara","NKLS","534_CV_2_15V_x30_BSE.tif","tif","534_CV_2_15V_x30_BSE_NKLS","534CV","534","CV","2","15V","x30","BSE"
"Sara","NKLS","534_CV_2_15V_x30_BSE.txt","txt","534_CV_2_15V_x30_BSE_NKLS","534CV","534","CV","2","15V","x30","BSE"
"Sara","NKLS","535_CV_1_15V_x30_BSE.tif","tif","535_CV_1_15V_x30_BSE_NKLS","535CV","535","CV","1","15V","x30","BSE"
"Sara","NKLS","535_CV_1_15V_x30_BSE.txt","txt","535_CV_1_15V_x30_BSE_NKLS","535CV","535","CV","1","15V","x30","BSE"
"Sara","NKLS","535_CV_2_15V_x30_BSE.tif","tif","535_CV_2_15V_x30_BSE_NKLS","535CV","535","CV","2","15V","x30","BSE"
"Sara","NKLS","535_CV_2_15V_x30_BSE.txt","txt","535_CV_2_15V_x30_BSE_NKLS","535CV","535","CV","2","15V","x30","BSE"
"Sara","NKLS","536_CV_1_15V_x30_BSE.tif","tif","536_CV_1_15V_x30_BSE_NKLS","536CV","536","CV","1","15V","x30","BSE"
"Sara","NKLS","536_CV_1_15V_x30_BSE.txt","txt","536_CV_1_15V_x30_BSE_NKLS","536CV","536","CV","1","15V","x30","BSE"
"Sara","NKLS","536_CV_2_15V_x30_BSE.tif","tif","536_CV_2_15V_x30_BSE_NKLS","536CV","536","CV","2","15V","x30","BSE"
"Sara","NKLS","536_CV_2_15V_x30_BSE.txt","txt","536_CV_2_15V_x30_BSE_NKLS","536CV","536","CV","2","15V","x30","BSE"
"Sara","NKLS","537_CV_1_15V_x30_BSE.tif","tif","537_CV_1_15V_x30_BSE_NKLS","537CV","537","CV","1","15V","x30","BSE"
